country,county,population,year
swe,Stockholm,2377081,2019
swe,Uppsala,383713,2019
swe,Södermanland,297540,2019
swe,Östergötland,465495,2019
swe,Jönköping,363599,2019
swe,Kronoberg,201469,2019
swe,Kalmar,245446,2019
swe,Gotland,59686,2019
swe,Blekinge,159606,2019
swe,Skåne,1377827,2019
swe,Halland,333848,2019
swe,Västra Götaland,1725881,2019
swe,Värmland,282414,2019
swe,Örebro,304805,2019
swe,Västmanland,275845,2019
swe,Dalarna,287966,2019
swe,Gävleborg,287382,2019
swe,Västernorrland,245347,2019
swe,Jämtland,130810,2019
swe,Västerbotten,271736,2019
swe,Norrbotten,250093,2019
